value,SPI,Sample_ID,base_region
0.7931911293551384,cov_EmpiricalCovariance,sub-10217,isthmuscingulate
0.6097233696362105,cov_EmpiricalCovariance,sub-10217,lateraloccipital
0.4007255464814099,cov_EmpiricalCovariance,sub-10217,lateralorbitofrontal
0.817616034867387,cov_EmpiricalCovariance,sub-10217,lingual
0.4678789748454059,cov_EmpiricalCovariance,sub-10217,medialorbitofrontal
-0.03846872731428156,cov_EmpiricalCovariance,sub-10217,middletemporal
0.4016259078281556,cov_EmpiricalCovariance,sub-10217,parahippocampal
0.32181629913845056,cov_EmpiricalCovariance,sub-10217,paracentral
0.5244562774671168,cov_EmpiricalCovariance,sub-10217,parsopercularis
0.27585362686577414,cov_EmpiricalCovariance,sub-10217,parsorbitalis
0.19076801780232933,cov_EmpiricalCovariance,sub-10217,parstriangularis
0.8011565201721117,cov_EmpiricalCovariance,sub-10217,pericalcarine
0.7490615664192414,cov_EmpiricalCovariance,sub-10217,postcentral
0.6369164254412575,cov_EmpiricalCovariance,sub-10217,posteriorcingulate
0.6068495354072924,cov_EmpiricalCovariance,sub-10217,precentral
0.6546936689367403,cov_EmpiricalCovariance,sub-10217,precuneus
0.2480440219152238,cov_EmpiricalCovariance,sub-10217,rostralanteriorcingulate
0.496694054967723,cov_EmpiricalCovariance,sub-10217,rostralmiddlefrontal
0.17942146807906284,cov_EmpiricalCovariance,sub-10217,superiorfrontal
0.6806794190533497,cov_EmpiricalCovariance,sub-10217,superiorparietal
0.3966979476593385,cov_EmpiricalCovariance,sub-10217,superiortemporal
0.40161921480801055,cov_EmpiricalCovariance,sub-10217,supramarginal
0.2194041129301971,cov_EmpiricalCovariance,sub-10217,frontalpole
-0.02724888143802543,cov_EmpiricalCovariance,sub-10217,temporalpole
0.5928525277411517,cov_EmpiricalCovariance,sub-10217,transversetemporal
0.5789716344232784,cov_EmpiricalCovariance,sub-10217,insula
0.9016987670013447,cov_EmpiricalCovariance,sub-10217,Thalamus-Proper
0.5835457088931328,cov_EmpiricalCovariance,sub-10217,Caudate
0.6609852229303574,cov_EmpiricalCovariance,sub-10217,Putamen
0.19189876952771825,cov_EmpiricalCovariance,sub-10217,Pallidum
0.5116554205030204,cov_EmpiricalCovariance,sub-10217,Hippocampus
0.401682981272636,cov_EmpiricalCovariance,sub-10217,Amygdala
0.032937602629098325,cov_EmpiricalCovariance,sub-10217,Accumbens-area
0.5194439871799902,cov_EmpiricalCovariance,sub-10225,bankssts
0.4214623215809589,cov_EmpiricalCovariance,sub-10225,caudalanteriorcingulate
0.1862552188037848,cov_EmpiricalCovariance,sub-10225,caudalmiddlefrontal
0.8426665941950654,cov_EmpiricalCovariance,sub-10225,cuneus
0.7260713230152944,cov_EmpiricalCovariance,sub-10225,entorhinal
0.629097698675601,cov_EmpiricalCovariance,sub-10225,fusiform
0.44711590312859717,cov_EmpiricalCovariance,sub-10225,inferiorparietal
0.11550165095721267,cov_EmpiricalCovariance,sub-10225,inferiortemporal
0.8103598839604914,cov_EmpiricalCovariance,sub-10225,isthmuscingulate
0.7156758317103503,cov_EmpiricalCovariance,sub-10225,lateraloccipital
0.23687401562141724,cov_EmpiricalCovariance,sub-10225,lateralorbitofrontal
0.8119516113199623,cov_EmpiricalCovariance,sub-10225,lingual
0.32009595245059114,cov_EmpiricalCovariance,sub-10225,medialorbitofrontal
0.45399465826176916,cov_EmpiricalCovariance,sub-10225,middletemporal
0.5222659507858723,cov_EmpiricalCovariance,sub-10225,parahippocampal
0.7982218298193713,cov_EmpiricalCovariance,sub-10225,paracentral
0.457968227363752,cov_EmpiricalCovariance,sub-10225,parsopercularis
0.13872486905500891,cov_EmpiricalCovariance,sub-10225,parsorbitalis
0.43322987171454846,cov_EmpiricalCovariance,sub-10225,parstriangularis
0.8318869845746413,cov_EmpiricalCovariance,sub-10225,pericalcarine
0.8949242093567897,cov_EmpiricalCovariance,sub-10225,postcentral
0.38997658211963954,cov_EmpiricalCovariance,sub-10225,posteriorcingulate
0.8615348743642381,cov_EmpiricalCovariance,sub-10225,precentral
0.8042065021359666,cov_EmpiricalCovariance,sub-10225,precuneus
0.21847630290792483,cov_EmpiricalCovariance,sub-10225,rostralanteriorcingulate
0.12785257900165634,cov_EmpiricalCovariance,sub-10225,rostralmiddlefrontal
0.3840694598975935,cov_EmpiricalCovariance,sub-10225,superiorfrontal
0.4772406729682141,cov_EmpiricalCovariance,sub-10225,superiorparietal
0.6963813307405161,cov_EmpiricalCovariance,sub-10225,superiortemporal
0.5127774424136553,cov_EmpiricalCovariance,sub-10225,supramarginal
0.33060567201839747,cov_EmpiricalCovariance,sub-10225,frontalpole
0.20014858242836975,cov_EmpiricalCovariance,sub-10225,temporalpole
0.5245208491545423,cov_EmpiricalCovariance,sub-10225,transversetemporal
0.5826944344772803,cov_EmpiricalCovariance,sub-10225,insula
0.8738504307980053,cov_EmpiricalCovariance,sub-10225,Thalamus-Proper
0.6673825717023936,cov_EmpiricalCovariance,sub-10225,Caudate
0.8320991200036144,cov_EmpiricalCovariance,sub-10225,Putamen
0.4472339006504799,cov_EmpiricalCovariance,sub-10225,Pallidum
0.5263358227098875,cov_EmpiricalCovariance,sub-10225,Hippocampus
0.5307229552332826,cov_EmpiricalCovariance,sub-10225,Amygdala
0.42908976552848366,cov_EmpiricalCovariance,sub-10225,Accumbens-area
0.2192265260316487,cov_EmpiricalCovariance,sub-10228,bankssts
0.3483195582789946,cov_EmpiricalCovariance,sub-10228,caudalanteriorcingulate
0.35800322075111857,cov_EmpiricalCovariance,sub-10228,caudalmiddlefrontal
0.7087266624601067,cov_EmpiricalCovariance,sub-10228,cuneus
0.1387437433077033,cov_EmpiricalCovariance,sub-10228,entorhinal
0.18310607824491118,cov_EmpiricalCovariance,sub-10228,fusiform
0.4380948755088818,cov_EmpiricalCovariance,sub-10228,inferiorparietal
0.1593892796015964,cov_EmpiricalCovariance,sub-10228,inferiortemporal
0.2511207094448034,cov_EmpiricalCovariance,sub-10228,isthmuscingulate
0.5289710444834391,cov_EmpiricalCovariance,sub-10228,lateraloccipital
0.16642296686232888,cov_EmpiricalCovariance,sub-10228,lateralorbitofrontal
0.4314195333594565,cov_EmpiricalCovariance,sub-10228,lingual
0.24860031159636442,cov_EmpiricalCovariance,sub-10228,medialorbitofrontal
-0.10914083507250967,cov_EmpiricalCovariance,sub-10228,middletemporal
0.49342209531862924,cov_EmpiricalCovariance,sub-10228,parahippocampal
0.3913716612959353,cov_EmpiricalCovariance,sub-10228,paracentral
0.27065741267977733,cov_EmpiricalCovariance,sub-10228,parsopercularis
0.059919901436562326,cov_EmpiricalCovariance,sub-10228,parsorbitalis
0.19877678414947916,cov_EmpiricalCovariance,sub-10228,parstriangularis
0.7819734633111679,cov_EmpiricalCovariance,sub-10228,pericalcarine
0.5577811348027858,cov_EmpiricalCovariance,sub-10228,postcentral
0.18157762776557684,cov_EmpiricalCovariance,sub-10228,posteriorcingulate
0.30373819821794024,cov_EmpiricalCovariance,sub-10228,precentral
0.4837268685078474,cov_EmpiricalCovariance,sub-10228,precuneus
0.25942214855616963,cov_EmpiricalCovariance,sub-10228,rostralanteriorcingulate
0.13722888704936637,cov_EmpiricalCovariance,sub-10228,rostralmiddlefrontal
0.2401409470591513,cov_EmpiricalCovariance,sub-10228,superiorfrontal
0.10339273909703839,cov_EmpiricalCovariance,sub-10228,superiorparietal
0.5474786322153372,cov_EmpiricalCovariance,sub-10228,superiortemporal
0.24691280540423408,cov_EmpiricalCovariance,sub-10228,supramarginal
0.23722126113556136,cov_EmpiricalCovariance,sub-10228,frontalpole
0.3158823532846629,cov_EmpiricalCovariance,sub-10228,temporalpole
0.22596228094094015,cov_EmpiricalCovariance,sub-10228,transversetemporal
0.14695875822601207,cov_EmpiricalCovariance,sub-10228,insula
0.46295955905679825,cov_EmpiricalCovariance,sub-10228,Thalamus-Proper
0.5333957083761349,cov_EmpiricalCovariance,sub-10228,Caudate
0.3355714289205647,cov_EmpiricalCovariance,sub-10228,Putamen
0.14361285058974663,cov_EmpiricalCovariance,sub-10228,Pallidum
0.6976970969932056,cov_EmpiricalCovariance,sub-10228,Hippocampus
0.5727553395157421,cov_EmpiricalCovariance,sub-10228,Amygdala
0.17364035977806505,cov_EmpiricalCovariance,sub-10228,Accumbens-area
0.6162855046346758,cov_EmpiricalCovariance,sub-10249,bankssts
0.7454254062304269,cov_EmpiricalCovariance,sub-10249,caudalanteriorcingulate
0.050823339194666264,cov_EmpiricalCovariance,sub-10249,caudalmiddlefrontal
0.8874504644258624,cov_EmpiricalCovariance,sub-10249,cuneus
0.19182868257732757,cov_EmpiricalCovariance,sub-10249,entorhinal
0.7337497770417216,cov_EmpiricalCovariance,sub-10249,fusiform
0.5248668260333956,cov_EmpiricalCovariance,sub-10249,inferiorparietal
0.657574804922404,cov_EmpiricalCovariance,sub-10249,inferiortemporal
0.8224046668385502,cov_EmpiricalCovariance,sub-10249,isthmuscingulate
0.7467467268597118,cov_EmpiricalCovariance,sub-10249,lateraloccipital
0.3112040953638296,cov_EmpiricalCovariance,sub-10249,lateralorbitofrontal
0.8896623492444495,cov_EmpiricalCovariance,sub-10249,lingual
0.5806203958487209,cov_EmpiricalCovariance,sub-10249,medialorbitofrontal
0.6310320007153847,cov_EmpiricalCovariance,sub-10249,middletemporal
0.6163781122633648,cov_EmpiricalCovariance,sub-10249,parahippocampal
0.544303765356316,cov_EmpiricalCovariance,sub-10249,paracentral
0.44459320429358,cov_EmpiricalCovariance,sub-10249,parsopercularis
0.4540660115290498,cov_EmpiricalCovariance,sub-10249,parsorbitalis
0.532566470372621,cov_EmpiricalCovariance,sub-10249,parstriangularis
0.9397991379161897,cov_EmpiricalCovariance,sub-10249,pericalcarine
0.5217005349002122,cov_EmpiricalCovariance,sub-10249,postcentral
0.6448284525767181,cov_EmpiricalCovariance,sub-10249,posteriorcingulate
0.33171908798039307,cov_EmpiricalCovariance,sub-10249,precentral
0.8074052544229532,cov_EmpiricalCovariance,sub-10249,precuneus
0.39015937787108945,cov_EmpiricalCovariance,sub-10249,rostralanteriorcingulate
0.5692946236439698,cov_EmpiricalCovariance,sub-10249,rostralmiddlefrontal
0.6372632727599677,cov_EmpiricalCovariance,sub-10249,superiorfrontal
0.784808866194119,cov_EmpiricalCovariance,sub-10249,superiorparietal
0.5508793091922477,cov_EmpiricalCovariance,sub-10249,superiortemporal
0.5297449682623409,cov_EmpiricalCovariance,sub-10249,supramarginal
0.05458276427974423,cov_EmpiricalCovariance,sub-10249,frontalpole
0.10546976540597411,cov_EmpiricalCovariance,sub-10249,temporalpole
0.6009286640771425,cov_EmpiricalCovariance,sub-10249,transversetemporal
0.5988815059636591,cov_EmpiricalCovariance,sub-10249,insula
0.8256516581538419,cov_EmpiricalCovariance,sub-10249,Thalamus-Proper
0.6643276688213989,cov_EmpiricalCovariance,sub-10249,Caudate
0.7457091823387896,cov_EmpiricalCovariance,sub-10249,Putamen
0.3365270783422752,cov_EmpiricalCovariance,sub-10249,Pallidum
0.4863845985198101,cov_EmpiricalCovariance,sub-10249,Hippocampus
0.45394362024120705,cov_EmpiricalCovariance,sub-10249,Amygdala
0.3042950288745952,cov_EmpiricalCovariance,sub-10249,Accumbens-area
-0.044630538176559896,cov_EmpiricalCovariance,sub-10269,bankssts
0.6621702219702349,cov_EmpiricalCovariance,sub-10269,caudalanteriorcingulate
0.3081814217744245,cov_EmpiricalCovariance,sub-10269,caudalmiddlefrontal
0.9134751857702302,cov_EmpiricalCovariance,sub-10269,cuneus
0.8180117078822012,cov_EmpiricalCovariance,sub-10269,entorhinal
0.4632187323329902,cov_EmpiricalCovariance,sub-10269,fusiform
-0.30465081460130544,cov_EmpiricalCovariance,sub-10269,inferiorparietal
0.22670451257353516,cov_EmpiricalCovariance,sub-10269,inferiortemporal
0.5388736580902339,cov_EmpiricalCovariance,sub-10269,isthmuscingulate
0.7455732112239691,cov_EmpiricalCovariance,sub-10269,lateraloccipital
0.4041939223439226,cov_EmpiricalCovariance,sub-10269,lateralorbitofrontal
0.8676036552740841,cov_EmpiricalCovariance,sub-10269,lingual
0.6812339087416139,cov_EmpiricalCovariance,sub-10269,medialorbitofrontal
-0.35596976993464285,cov_EmpiricalCovariance,sub-10269,middletemporal
0.6770374872159882,cov_EmpiricalCovariance,sub-10269,parahippocampal
0.7202354916270645,cov_EmpiricalCovariance,sub-10269,paracentral
0.11686284624307644,cov_EmpiricalCovariance,sub-10269,parsopercularis
0.29252394336625276,cov_EmpiricalCovariance,sub-10269,parsorbitalis
0.2607877139214287,cov_EmpiricalCovariance,sub-10269,parstriangularis
0.932526284844578,cov_EmpiricalCovariance,sub-10269,pericalcarine
0.587089196386975,cov_EmpiricalCovariance,sub-10269,postcentral
0.7784117664712825,cov_EmpiricalCovariance,sub-10269,posteriorcingulate
0.5614923032028372,cov_EmpiricalCovariance,sub-10269,precentral
0.7672228015576613,cov_EmpiricalCovariance,sub-10269,precuneus
0.8170596164642057,cov_EmpiricalCovariance,sub-10269,rostralanteriorcingulate
0.5712493467088722,cov_EmpiricalCovariance,sub-10269,rostralmiddlefrontal
0.907342362224275,cov_EmpiricalCovariance,sub-10269,superiorfrontal
0.31946201671943536,cov_EmpiricalCovariance,sub-10269,superiorparietal
0.16256819621782084,cov_EmpiricalCovariance,sub-10269,superiortemporal
0.3481594433066627,cov_EmpiricalCovariance,sub-10269,supramarginal
0.567721496205028,cov_EmpiricalCovariance,sub-10269,frontalpole
0.785653531459795,cov_EmpiricalCovariance,sub-10269,temporalpole
0.2590839992433058,cov_EmpiricalCovariance,sub-10269,transversetemporal
0.5062419935659566,cov_EmpiricalCovariance,sub-10269,insula
0.7563447823667814,cov_EmpiricalCovariance,sub-10269,Thalamus-Proper
0.6254326119105714,cov_EmpiricalCovariance,sub-10269,Caudate
0.8458004238196712,cov_EmpiricalCovariance,sub-10269,Putamen
0.3053649262717855,cov_EmpiricalCovariance,sub-10269,Pallidum
0.9013752239576149,cov_EmpiricalCovariance,sub-10269,Hippocampus
0.931708553535625,cov_EmpiricalCovariance,sub-10269,Amygdala
0.10491568020429849,cov_EmpiricalCovariance,sub-10269,Accumbens-area
0.3831073149112111,cov_EmpiricalCovariance,sub-10271,bankssts
0.3908378932759656,cov_EmpiricalCovariance,sub-10271,caudalanteriorcingulate
