Category,Description,Region_Index,Value,Brain_Region,ggseg,Hemisphere,Base_Region
Transcriptomic hierarchy,PC1 of Allen Human Brain Atlas,5,-0.23487851,ctx-lh-fusiform,ctx-lh-fusiform,Left,fusiform
Transcriptomic hierarchy,PC1 of Allen Human Brain Atlas,6,0.35668272,ctx-lh-inferiorparietal,ctx-lh-inferiorparietal,Left,inferiorparietal
Transcriptomic hierarchy,PC1 of Allen Human Brain Atlas,7,-0.8982669,ctx-lh-inferiortemporal,ctx-lh-inferiortemporal,Left,inferiortemporal
Transcriptomic hierarchy,PC1 of Allen Human Brain Atlas,8,0.28919342,ctx-lh-isthmuscingulate,ctx-lh-isthmuscingulate,Left,isthmuscingulate
Transcriptomic hierarchy,PC1 of Allen Human Brain Atlas,9,1.6699176,ctx-lh-lateraloccipital,ctx-lh-lateraloccipital,Left,lateraloccipital
Transcriptomic hierarchy,PC1 of Allen Human Brain Atlas,10,-1.0851315,ctx-lh-lateralorbitofrontal,ctx-lh-lateralorbitofrontal,Left,lateralorbitofrontal
Transcriptomic hierarchy,PC1 of Allen Human Brain Atlas,11,1.7646306,ctx-lh-lingual,ctx-lh-lingual,Left,lingual
Transcriptomic hierarchy,PC1 of Allen Human Brain Atlas,12,-1.5409971,ctx-lh-medialorbitofrontal,ctx-lh-medialorbitofrontal,Left,medialorbitofrontal
Transcriptomic hierarchy,PC1 of Allen Human Brain Atlas,13,-0.7711,ctx-lh-middletemporal,ctx-lh-middletemporal,Left,middletemporal
Transcriptomic hierarchy,PC1 of Allen Human Brain Atlas,14,-0.33957228,ctx-lh-parahippocampal,ctx-lh-parahippocampal,Left,parahippocampal
Transcriptomic hierarchy,PC1 of Allen Human Brain Atlas,15,0.31588063,ctx-lh-paracentral,ctx-lh-paracentral,Left,paracentral
Transcriptomic hierarchy,PC1 of Allen Human Brain Atlas,16,-0.6862686,ctx-lh-parsopercularis,ctx-lh-parsopercularis,Left,parsopercularis
Transcriptomic hierarchy,PC1 of Allen Human Brain Atlas,17,-0.47130707,ctx-lh-parsorbitalis,ctx-lh-parsorbitalis,Left,parsorbitalis
Transcriptomic hierarchy,PC1 of Allen Human Brain Atlas,18,-0.6420454,ctx-lh-parstriangularis,ctx-lh-parstriangularis,Left,parstriangularis
Transcriptomic hierarchy,PC1 of Allen Human Brain Atlas,19,2.4663777,ctx-lh-pericalcarine,ctx-lh-pericalcarine,Left,pericalcarine
Transcriptomic hierarchy,PC1 of Allen Human Brain Atlas,20,0.8097785,ctx-lh-postcentral,ctx-lh-postcentral,Left,postcentral
Transcriptomic hierarchy,PC1 of Allen Human Brain Atlas,21,-0.5482985,ctx-lh-posteriorcingulate,ctx-lh-posteriorcingulate,Left,posteriorcingulate
Transcriptomic hierarchy,PC1 of Allen Human Brain Atlas,22,0.40821445,ctx-lh-precentral,ctx-lh-precentral,Left,precentral
Transcriptomic hierarchy,PC1 of Allen Human Brain Atlas,23,0.6487016,ctx-lh-precuneus,ctx-lh-precuneus,Left,precuneus
Transcriptomic hierarchy,PC1 of Allen Human Brain Atlas,24,-1.8302916,ctx-lh-rostralanteriorcingulate,ctx-lh-rostralanteriorcingulate,Left,rostralanteriorcingulate
Transcriptomic hierarchy,PC1 of Allen Human Brain Atlas,25,-0.5178545,ctx-lh-rostralmiddlefrontal,ctx-lh-rostralmiddlefrontal,Left,rostralmiddlefrontal
Transcriptomic hierarchy,PC1 of Allen Human Brain Atlas,26,-0.67747545,ctx-lh-superiorfrontal,ctx-lh-superiorfrontal,Left,superiorfrontal
Transcriptomic hierarchy,PC1 of Allen Human Brain Atlas,27,0.5959364,ctx-lh-superiorparietal,ctx-lh-superiorparietal,Left,superiorparietal
Transcriptomic hierarchy,PC1 of Allen Human Brain Atlas,28,-0.51308876,ctx-lh-superiortemporal,ctx-lh-superiortemporal,Left,superiortemporal
Transcriptomic hierarchy,PC1 of Allen Human Brain Atlas,29,0.097884916,ctx-lh-supramarginal,ctx-lh-supramarginal,Left,supramarginal
Transcriptomic hierarchy,PC1 of Allen Human Brain Atlas,30,-0.9097755,ctx-lh-frontalpole,ctx-lh-frontalpole,Left,frontalpole
Transcriptomic hierarchy,PC1 of Allen Human Brain Atlas,31,-2.0682714,ctx-lh-temporalpole,ctx-lh-temporalpole,Left,temporalpole
Transcriptomic hierarchy,PC1 of Allen Human Brain Atlas,32,0.44673663,ctx-lh-transversetemporal,ctx-lh-transversetemporal,Left,transversetemporal
Transcriptomic hierarchy,PC1 of Allen Human Brain Atlas,33,-0.7405738,ctx-lh-insula,ctx-lh-insula,Left,insula
Transcriptomic hierarchy,PC1 of Allen Human Brain Atlas,34,0.039094046,ctx-rh-bankssts,ctx-rh-bankssts,Right,bankssts
Transcriptomic hierarchy,PC1 of Allen Human Brain Atlas,35,-1.5019959,ctx-rh-caudalanteriorcingulate,ctx-rh-caudalanteriorcingulate,Right,caudalanteriorcingulate
Transcriptomic hierarchy,PC1 of Allen Human Brain Atlas,36,-0.26251793,ctx-rh-caudalmiddlefrontal,ctx-rh-caudalmiddlefrontal,Right,caudalmiddlefrontal
Transcriptomic hierarchy,PC1 of Allen Human Brain Atlas,37,1.8446741,ctx-rh-cuneus,ctx-rh-cuneus,Right,cuneus
Transcriptomic hierarchy,PC1 of Allen Human Brain Atlas,38,-1.9114033,ctx-rh-entorhinal,ctx-rh-entorhinal,Right,entorhinal
Transcriptomic hierarchy,PC1 of Allen Human Brain Atlas,39,-0.31967753,ctx-rh-fusiform,ctx-rh-fusiform,Right,fusiform
Transcriptomic hierarchy,PC1 of Allen Human Brain Atlas,40,0.1964756,ctx-rh-inferiorparietal,ctx-rh-inferiorparietal,Right,inferiorparietal
Transcriptomic hierarchy,PC1 of Allen Human Brain Atlas,41,-1.0154786,ctx-rh-inferiortemporal,ctx-rh-inferiortemporal,Right,inferiortemporal
Transcriptomic hierarchy,PC1 of Allen Human Brain Atlas,42,0.23889776,ctx-rh-isthmuscingulate,ctx-rh-isthmuscingulate,Right,isthmuscingulate
Transcriptomic hierarchy,PC1 of Allen Human Brain Atlas,43,1.5741961,ctx-rh-lateraloccipital,ctx-rh-lateraloccipital,Right,lateraloccipital
Transcriptomic hierarchy,PC1 of Allen Human Brain Atlas,44,-1.0825258,ctx-rh-lateralorbitofrontal,ctx-rh-lateralorbitofrontal,Right,lateralorbitofrontal
Transcriptomic hierarchy,PC1 of Allen Human Brain Atlas,45,1.6272053,ctx-rh-lingual,ctx-rh-lingual,Right,lingual
Transcriptomic hierarchy,PC1 of Allen Human Brain Atlas,46,-1.5398993,ctx-rh-medialorbitofrontal,ctx-rh-medialorbitofrontal,Right,medialorbitofrontal
Transcriptomic hierarchy,PC1 of Allen Human Brain Atlas,47,-0.82348925,ctx-rh-middletemporal,ctx-rh-middletemporal,Right,middletemporal
Transcriptomic hierarchy,PC1 of Allen Human Brain Atlas,48,-0.4463501,ctx-rh-parahippocampal,ctx-rh-parahippocampal,Right,parahippocampal
Transcriptomic hierarchy,PC1 of Allen Human Brain Atlas,49,0.26796758,ctx-rh-paracentral,ctx-rh-paracentral,Right,paracentral
Transcriptomic hierarchy,PC1 of Allen Human Brain Atlas,50,-0.66391194,ctx-rh-parsopercularis,ctx-rh-parsopercularis,Right,parsopercularis
Transcriptomic hierarchy,PC1 of Allen Human Brain Atlas,51,-0.49776542,ctx-rh-parsorbitalis,ctx-rh-parsorbitalis,Right,parsorbitalis
Transcriptomic hierarchy,PC1 of Allen Human Brain Atlas,52,-0.6070973,ctx-rh-parstriangularis,ctx-rh-parstriangularis,Right,parstriangularis
